Cave_ID,Cave_String,Year,Date,start_time,end_time,Taken_from_first-last_bird,hours,number_persons,net_length,only_nest_check,Only_during_day,Notebook,Remarks
,MT09_RM04A,2013,02/04/2013,19:00,22:20,YES,3,2,12,NO,NO,01.12-05.13,
,MT09_RM05,2013,03/04/2013,16:40,21:30,YES,3,3,12,NO,NO,01.12-05.13,
,MT09_RM04A,2013,03/04/2013,20:30,22:35,YES,2,5,0,NO,NO,01.12-05.13,
,MT09_RM05,2013,04/04/2013,21:00,22:00,YES,1,2,0,NO,NO,01.12-05.12,
,MT09_RM05,2013,05/04/2013,20:00,03:00,NO,7,6,0,NO,NO,01.12-05.13,
,MT09_RM04B,2013,05/04/2013,20:00,03:00,NO,7,6,0,NO,NO,01.12-05.12,
,MT09_RM04A,2013,05/04/2013,20:00,03:00,NO,7,6,0,NO,NO,01.12-05.13,
,MT24_Majjistral_Thomas,2013,05/04/2013,17:00,17:00,YES,0,1,0,YES,YES,red,
,MT24_Majjistral_NS2_NS3,2013,05/04/2013,17:05,17:05,YES,0,1,0,YES,YES,red,
,MT09_RM01,2013,06/04/2013,17:50,18:30,YES,0.5,2,0,YES,YES,01.12-05.13,
,MT09_RM05,2013,06/04/2013,22:16,22:45,YES,0.5,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,06/04/2013,20:30,22:00,YES,1.5,2,0,NO,NO,01.12-05.13,
,MT09_RM01,2013,06/04/2013,17:00,18:30,NO,1.5,2,0,NO,NO,01.12-05.13,
,MT09_RM01,2013,08/04/2013,20:45,21:45,YES,1,2,0,NO,NO,01.12-05.13,
,MT09_RM05,2013,08/04/2013,23:15,23:30,YES,0.25,2,0,NO,NO,01.12-05.13,
,MT09_RM04C,2013,08/04/2013,22:00,23:00,YES,1,4,0,NO,NO,01.12-05.12,
,MT09_RM04A,2013,08/04/2013,22:00,23:00,YES,1,4,0,NO,NO,01.12-05.13,
,MT09_RM05,2013,09/04/2013,23:30,00:00,YES,0.5,4,0,NO,NO,4.13-05.13,
,MT09_RM04A,2013,09/04/2013,22:30,23:30,YES,0.5,1,0,NO,NO,4.13-05.13,
,MT09_RM04C,2013,09/04/2013,20:00,00:00,YES,4,4,0,NO,NO,01.12-05.13,
,MT09_RM04D,2013,09/04/2013,23:25,01:00,YES,1.67,2,0,NO,NO,04.13-06.13,
,MT24_Majjistral_NS2_NS3,2013,09/04/2013,17:25,17:25,NO,0,1,0,YES,YES,black,
,MT09_RM04D,2013,10/04/2013,21:10,00:00,NO,2.83,2,0,NO,NO,04.13-06.13,
,MT09_RM05,2013,10/04/2013,22:00,00:00,YES,2,2,0,NO,NO,04.13-06.14,
,MT09_RM03,2013,11/04/2013,20:45,00:25,NO,3.5,3,24,NO,NO,04.13-05.13,
,MT09_RM03_Upper,2013,12/04/2013,21:00,00:15,YES,1.25,2,0,NO,NO,04.13-06.13,
,MT09_RM03_North,2013,12/04/2013,21:00,00:15,YES,2.25,2,12,NO,NO,04.13-06.13,
,MT09_RM03,2013,12/04/2013,21:00,00:15,YES,3.25,2,12,NO,NO,04.13-06.13,
,MT09_RM01,2013,12/04/2013,18:00,19:00,NO,1,2,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,12/04/2013,20:00,21:30,NO,1.5,2,0,NO,NO,04.13-05.13,
,MT09_RM05,2013,12/04/2013,20:00,02:00,NO,6,2,0,NO,NO,04.13-05.13,
,MT09_RM03,2013,13/04/2013,20:00,22:40,NO,2.7,4,24,NO,NO,04.13-05.13,
,MT24_Majjistral_NS2_NS3,2013,13/04/2013,15:20,15:20,YES,0,1,0,YES,YES,black,
,MT09_RM01,2013,15/04/2013,19:30,21:00,NO,1.5,2,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,15/04/2013,20:00,23:45,YES,2.75,2,0,NO,NO,04.13-05.13,
,MT09_RM05,2013,15/04/2013,20:30,01:10,YES,4.67,2,0,NO,NO,04.13-06.13,
,MT09_RM05GC,2013,16/04/2013,20:00,01:45,YES,5.75,4,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,17/04/2013,21:00,04:55,YES,4.9,3,0,NO,NO,04.13-05.13,
,MT09_RM04B,2013,17/04/2013,21:00,04:55,YES,4.9,3,0,NO,NO,04.13-05.14,
,MT09_RM04D,2013,17/04/2013,21:15,05:15,NO,7,2,0,NO,NO,04.13-06.13,
,MT09_RM01,2013,17/04/2013,20:00,20:10,YES,0.1,3,0,NO,NO,04.13-06.14,
,MT09_RM03_North,2013,19/04/2013,01:00,05:00,YES,4,2,12,NO,NO,04.13-05.13,
,MT09_RM03_Spiderman,2013,19/04/2013,02:00,05:30,YES,1.5,2,0,NO,NO,04.13-05.13,
,MT09_RM03_18to22,2013,19/04/2013,04:00,05:30,YES,0.5,2,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,19/04/2013,00:00,00:30,NO,0.5,2,0,NO,NO,04.13-05.13,no birds
,MT09_RM03,2013,19/04/2013,01:00,05:00,YES,4,2,12,NO,NO,04.13-05.13,
,MT09_RM05GC_Central,2013,20/04/2013,03:00,05:30,YES,2.5,2,0,NO,NO,04.13-05.13,
,MT09_RM01,2013,20/04/2013,00:30,00:30,YES,0,2,0,NO,NO,04.13-05.13,no birds
,MT09_RM04A,2013,20/04/2013,00:45,02:10,YES,1.42,2,0,NO,NO,04.13-05.13,
,MT09_RM05GC,2013,20/04/2013,00:15,05:25,YES,4.17,2,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,21/04/2013,00:45,04:35,YES,3.83,3,0,NO,NO,04.13-05.13,
,MT09_RM04D,2013,21/04/2013,01:00,04:25,NO,4.42,2,0,NO,NO,04.13-06.13,
,MT09_RM05GC,2013,21/04/2013,23:30,04:30,YES,3,3,0,YES,NO,04.13-05.13,
,MT09_RM05GC_Central,2013,21/04/2013,23:30,04:30,YES,1.5,2,0,NO,NO,04.13-05.12,
,MT09_RM04A,2013,22/04/2013,03:00,03:00,YES,0,2,0,NO,NO,04.13-05.13,no birds
,MT09_RM05BT,2013,22/04/2013,03:30,05:00,YES,1.5,1,0,NO,NO,04.13-05.13,
,MT09_RM05BT,2013,26/04/2013,21:00,22:00,NO,1,2,0,YES,NO,04.13-05.13,
,MT09_RM05GC,2013,26/04/2013,22:00,22:10,YES,0,1,0,YES,NO,04.13-05.13,
,MT09_RM01,2013,26/04/2013,18:15,18:45,NO,0.5,3,0,YES,NO,04.13-05.13,
,MT09_RM04A,2013,26/04/2013,20:45,21:30,YES,0.75,1,12,NO,NO,04.13-05.13,
,MT09_RM04A,2013,26/04/2013,19:15,19:30,NO,0.5,3,0,YES,NO,04.13-05.13,
,MT09_RM05BT,2013,27/04/2013,20:45,23:00,YES,2.25,2,0,NO,NO,04.13-06.13,
,MT09_RM04A,2013,27/04/2013,20:30,22:00,NO,1.5,1,0,NO,NO,04.13-05.13,
,MT09_RM04B,2013,27/04/2013,22:30,22:50,YES,0.4,1,0,NO,NO,04.13-05.13,
,MT09_RM05GC,2013,28/04/2013,21:15,22:15,YES,1,2,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,28/04/2013,23:30,23:30,YES,0,2,0,NO,NO,04.13-05.13,
,MT09_RM04B,2013,28/04/2013,23:35,23:35,YES,0,2,0,NO,NO,04.13-05.13,
,MT09_RM03_Upper,2013,28/04/2013,21:00,23:15,YES,2.15,3,0,NO,NO,04.13-06.13,
,MT09_RM03,2013,28/04/2013,21:00,23:15,YES,2.15,3,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,29/04/2013,20:00,22:00,YES,2,3,0,NO,NO,04.13-05.13,
,MT24_Majjistral_Eggshell,2013,30/04/2013,20:30,00:00,YES,3.5,1,0,NO,NO,black,
,MT24_Majjistral_Thomas,2013,30/04/2013,20:30,00:00,YES,3.5,1,0,NO,NO,black,
,MT24_Majjistral_Subt,2013,30/04/2013,20:30,00:00,YES,3.5,1,0,NO,NO,black,
,MT09_RM04A,2013,02/05/2013,20:30,21:30,YES,1,1,0,NO,NO,04.13-05.13,
,MT24_Majjistral_Eggshell,2013,02/05/2013,21:00,00:30,YES,3.5,1,0,NO,NO,lightgreen,
,MT24_Majjistral_Subt,2013,02/05/2013,21:00,00:30,YES,3.5,1,0,NO,NO,lightgreen,
,MT24_Majjistral_Thomas,2013,02/05/2013,21:00,00:30,YES,3.5,1,0,NO,NO,lightgreen,
,MT09_RM04A,2013,03/05/2013,22:00,23:30,YES,1.5,1,0,NO,NO,04.13-05.13,
,MT09_RM05BT,2013,03/05/2013,21:30,00:00,YES,2,1,0,NO,NO,04.13-05.13,
,MT09_RM05BT,2013,04/05/2013,20:45,22:15,YES,1.5,2,0,NO,NO,04.13-06.13,
,MT09_RM04B,2013,04/05/2013,20:30,23:45,NO,1.25,2,0,NO,NO,04.13-05.12,
,MT09_RM04A,2013,04/05/2013,20:30,23:45,NO,1.25,2,0,NO,NO,04.13-05.13,
,MT24_Majjistral_Eggshell,2013,05/05/2013,20:45,23:00,YES,2.25,1,0,NO,NO,black,
,MT24_Majjistral_Thomas,2013,05/05/2013,20:45,23:00,YES,2.25,1,0,NO,NO,black,
,MT24_Majjistral_Subt,2013,05/05/2013,20:45,23:00,YES,2.25,1,0,NO,NO,black,
,MT24_Majjistral_NS2_NS3,2013,05/05/2013,20:45,23:00,YES,0.5,1,0,NO,NO,black,
