Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,ringer,cave,nest_or_direction,remarks,sexed_by,tags,feather_sample,broodpatch,Prospector
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/02/2012,5,2012,4,04:00:00,R,EE01550,0,6,,,340,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/02/2012,5,2012,3,03:00:00,R,EE01661,0,6,,,320,,,,BLM Seabird Project,,way out,"brood patch small, on way out",,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/02/2012,5,2012,3,03:00:00,R,EE01673,0,6,,,380,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/02/2012,5,2012,4,04:00:00,R,EE01804,0,6,,,340,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/02/2012,5,2012,4,04:00:00,R,EE01806,0,6,,,380,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/03/2012,5,2012,23,23:00:00,R,EE00294,0,6,,,330,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/03/2012,5,2012,23,23:00:00,R,EE00741,0,6,,,410,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/03/2012,5,2012,23,23:00:00,R,EE00743,0,6,,,435,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/03/2012,5,2012,22,22:00:00,R,EE01151,0,6,,,435,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/04/2012,5,2012,0,00:00:00,R,EE00744,0,6,,,410,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE00737,0,6,F,,,,,,BLM Seabird Project,,,"regurgitate sample, female by call",call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,22,22:00:00,R,EE00741,0,6,,,380,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE00742,0,6,,,,,,,BLM Seabird Project,,,tag20 (old) lost,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE00743,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE00744,0,6,,,420,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,22,22:00:00,R,EE00747,0,6,,,340,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE00750,0,6,M,,335,,,,BLM Seabird Project,,,male by call,call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE01150,0,6,,,310,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,05/07/2012,5,2012,21,21:00:00,R,EE01675,0,6,,,400,,,,BLM Seabird Project,,,tag 383,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,22,22:00:00,R,EE00724,0,6,,,,,,,BLM Seabird Project,,,"tag 385 retrieved, regurgitate sample",,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,3,03:00:00,R,EE00724,0,6,,,400,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,4,04:00:00,R,EE00734,0,6,,,375,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,22,22:00:00,R,EE00737,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
