Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,TH,middletoe,Head,BLnalopsi,ringer,cave,nest_or_direction,Tag details,BP,Notes,Prospector,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,20,20:58,R,EE02598,0,4,,,425,,,,,,,,BLM seabird project,SOW4,way in,EE02598 replaced with EE09240,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,20,20:58,R,EE09240,1,4,,,425,,,,,,,,BLM seabird project,SOW4,way in,EE02598 replaced with EE09240,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,21,21:03,R,EE03948,0,4,,,430,,,,,,,,BLM seabird project,SOW4,way in,,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,21,21:08,N,EE09241,0,4,,,390,,,,,,,,BLM seabird project,SOW4,way in,,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,21,21:19,R,EE03409,0,4,,,400,,,,,,,,BLM seabird project,SOW4,way in,,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,21,21:32,R,EE04298,0,4,,,410,,,,,,,,BLM seabird project,SOW4,way in,,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,21,21:38,R,EE03922,0,4,,,425,,,,,,,,BLM seabird project,SOW4,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,20,20:30,N,EE09259,0,4,,,370,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,20,20:42,N,EE09260,0,4,,,380,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,20,20:58,N,EE05091,0,4,,,350,,,,,,,,BLM seabird project,Gregale Central,way in,EE09242 slipped off and not used; EE05091 overlapped on purpose,,,prospector,
,,MT09_RM05GC_Central,23/04/2025,4,2025,21,21:14,R,EE03295,0,4,,,410,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,21,21:23,R,EE06683,0,4,,,390,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,21,21:59,R,EE04286,0,4,,,360,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,22,22:05,N,EE09261,0,4,,,390,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_Central,23/04/2025,4,2025,22,22:07,R,EE03977,0,4,,,310,,,,,,,,BLM seabird project,Gregale Central,way in,,,,prospector,
,,MT09_RM05GC_Central,23/04/2025,4,2025,22,22:19,N,EE09243,0,4,,,375,,,,,,,,BLM seabird project,Gregale Central,way in,,,,,
,,MT09_RM05GC_South,23/04/2025,4,2025,20,20:55,R,EE01899,0,4,,,460,,,,,,,,BLM seabird project,Gregale South,way in,,,,,
,,MT09_RM05GC_South,23/04/2025,4,2025,21,21:17,N,EE09274,0,4,,,400,,,,,,,,BLM seabird project,Gregale South,,,,,prospector,
,,MT09_RM05GC_South,23/04/2025,4,2025,21,21:57,R,EE01967,0,4,,,395,,,,,,,,BLM seabird project,Gregale South,way in,EE01967 replaced with EE09275,,,,
,,MT09_RM05GC_South,23/04/2025,4,2025,21,21:57,R,EE09275,1,4,,,395,,,,,,,,BLM seabird project,Gregale South,way in,EE01967 replaced with EE09275,,,,
,,MT09_RM01,23/04/2025,4,2025,18,18:30,R,EE03132,0,4,,,345,,,,,,,,BLM seabird project,Big Crack,NB18,,,on egg,,
,,MT09_RM01,23/04/2025,4,2025,18,18:35,R,EE06836,0,4,,,340,,,,,,,,BLM seabird project,Big Crack,NB22,,,with TO,,
,,MT09_RM01,23/04/2025,4,2025,18,18:40,R,EE04229,0,4,,,385,,,,,,,,BLM seabird project,Big Crack,NB23,,,with TO,,
,,MT09_RM01,23/04/2025,4,2025,18,18:50,R,EE09008,0,4,,,390,,,,,,,,BLM seabird project,Big Crack,NB25,,,on egg,,
,,MT09_RM01,23/04/2025,4,2025,18,18:55,R,EE04542,0,4,M,,385,,,,,,,,BLM seabird project,Fig tree,NB27,,,with TO,,
,,MT09_RM01,23/04/2025,4,2025,19,19:10,R,EE09658,0,4,,,385,,,,,,,,BLM seabird project,Underboulder,NB10,,,on egg,,
,,MT09_RM01,23/04/2025,4,2025,19,19:15,R,EE09267,0,4,,,340,,,,,,,,BLM seabird project,Underboulder,NB14,,,on egg,,
,,MT09_RM01,01/05/2025,5,2025,18,18:00,R,EE09008,0,4,,,320,,,,,,,,BLM seabird project,Big Crack,NB25,,,on egg,,
,,MT09_RM01,01/05/2025,5,2025,18,18:20,R,EE09659,0,4,,,420,,,,,,,,BLM seabird project,Underboulder,NB14,,,on egg,,
,,MT09_RM04C,01/05/2025,5,2025,20,20:44,N,EE09276,0,4,,,360,,,,,,,,BLM seabird project,RM04C MN,way in,,,weight after vomitting,,
,,MT09_RM04C,01/05/2025,5,2025,20,20:49,N,EE09277,0,4,,,320,,,,,,,,BLM seabird project,RM04C cave 2,way in,,,,,
,,MT09_RM04C,01/05/2025,5,2025,21,21:18,R,EE09210,0,4,,,385,,,,,,,,BLM seabird project,RM04C MN,way in,,,,,
,,MT09_RM04C,01/05/2025,5,2025,21,21:25,R,EE06905,0,4,,,340,,,,,,,,BLM seabird project,RM04C cave 2,way in,GLS on FF04841 retrieved including ring,,,,
,,MT09_RM04C,01/05/2025,5,2025,21,21:37,R,EE01908,0,4,,,385,,,,,,,,BLM seabird project,RM04C ,way in,,,,,
