Origninal_ring,Replacement_ring,DateReplacement,Pit_tag,Gps_tag,GLS_tag,F_ring_additional,Remarks,In case of gps tagged birds remarks refers to month when gps tag was on bird
EE01084,,,,,,,,
EE01085,EE04238,04/03/2019,A52,,,,,
EE01086,,,,,,,,
EE01087,,,,,,,,
EE01088,,,,,,,,
EE01089,EE04088,14/02/2019,A98,,,,,
EE01090,EE03184,18/04/2017,A74,,,,,
FF03259,,,,,,,,
FF03260,,,,,,,,
FF03261,,,,,,,,
FF03262,,,,,,,,
FF03263,,,,,,,,
FF03264,,,,,,,,
FF03265,,,,,,,,
FF03266,,,,,,,,
FF03267,,,,,,,,
FF03268,,,,,,,,
FF03269,,,,,,,,
FF03270,,,,,,,,
FF03271,,,,,,,,
FF03272,,,,,,,,
FF03273,,,,,,,,
FF03274,,,,,,,,
FF03275,,,,,,,,
FF03276,,,,,,,,
FF03277,,,,,,,,
FF03278,,,,,,,,
EE02051,,,,,,,,
EE02052,,,,,,,,
EE02053,,,,,,,,
EE02054,,,,,,,,
EE02055,,,,,,,,
EE02056,,,,,,,,
EE02057,,,,,,,,
EE02058,,,,,,,,
EE02059,,,,,,,,
EE02060,,,,,,,,
EE02061,,,,,,,,
EE02062,,,,,,,,
EE02068,,,,,,,,
EE02063,,,,,,,,
EE02064,,,,,,,,
EE02065,,,,,,,,
EE02101,,,,,,,,
EE02102,,,,,,,,
EE02103,,,,,,,,
EE02071,,,,,,,,
EE02072,,,,,,,,
EE02073,,,,,,,,
EE02074,,,,,,,,
EE02075,,,,,,,,
EE02076,,,,,,,,
EE02077,,,,,,,,
EE02078,,,,,,,,
EE02079,,,,,,,,
EE02080,,,,,,,,
EE02081,,,,,,,,
EE02105,,,,,,,,
EE02106,,,,,,,,
EE02107,,,,,,,,
EE02108,,,,,,,,
EE02082,,,,,,,,
EE02083,,,,,,,,
EE02084,,,,,,,,
EE02085,,,,,,,,
EE02086,,,,,,,,
EE02087,,,,,,,,
EE02088,,,,,,,,
EE02109,,,,,,,,
EE02121,,,,,,,,
EE02122,,,,,,,,
EE02123,,,,,,,,
EE02127,,,,,,,,
EE02124,,,,,,,,
EE02125,,,,,,,,
EE02126,,,,,,,,
EE02066,,,,,,,,
EE02111,,,,,,,,
EE02112,,,,,,,,
EE02113,,,,,,,,
EE02114,,,,,,,,
EE02115,,,,,,,,
EE02116,,,,,,,,
EE02117,,,,,,,,
EE02118,,,,,,,,
EE02119,,,,,,,,
EE02128,,,,,,,,
EE02129,,,,,,,,
EE02130,,,,,,,,
EE02067,,,,,,,,
EE02069,,,,,,,,
EE02070,,,,,,,,
EE02089,,,,,,,,
EE02090,,,,,,,,
EE02091,,,,,,,,
EE02092,,,,,,,,
EE02093,,,,,,,,
EE02094,,,,,,,,
EE02095,,,,,,,,
EE02096,,,,,,,,
EE02097,,,,,,,,
EE02098,,,,,,,,
EE02099,,,,,,,,
EE02100,,,,,,,,
EE02201,,,,,,,,
EE02202,,,,,,,,
EE02203,,,,,,,,
EE02204,,,,,,,,
EE02205,,,,,,,,
EE02206,,,,,,,,
EE02207,,,,,,,,
